"gene_ID","gene_name","difference","logpval","significant"
"NSUN7","NSUN7",-0.671085345312439,1.49783383789186,NA
"NT5C","NT5C",-0.140526418462861,1.11175591932676,NA
"NT5C1A","NT5C1A",-0.174941051555807,1.13887404684584,NA
"NT5C1B","NT5C1B",-1.72646742682944,1.91573664551495,NA
"NT5C1B-RDH14","NT5C1B-RDH14",-1.95589831411574,1.9495228660159,NA
"NT5C2","NT5C2",0.891912574325507,0.372439794278805,NA
"NT5C3A","NT5C3A",0.246638203832777,0.805188235325498,NA
"NT5C3B","NT5C3B",0.083168696641285,0.933717402942998,NA
"NT5DC1","NT5DC1",0.217959342921989,0.82746078947599,NA
"NT5DC2","NT5DC2",-0.0803008105502062,1.06400198642828,NA
"NT5DC3","NT5DC3",0.344146330929456,0.730736241444024,NA
"NT5DC4","NT5DC4",-1.99318083329977,1.95375835089029,"+"
"NT5E","NT5E",0.682556889676755,0.494886883032199,NA
"NT5M","NT5M",-0.903384118689822,1.63367793424408,NA
"NTAN1","NTAN1",0.295392267381116,0.767694239643934,NA
"NTF3","NTF3",-1.35364223498919,1.82414945449245,NA
"NTF4","NTF4",-0.926327207418452,1.64572403929729,NA
"NTHL1","NTHL1",-0.464597546754766,1.357780310567,NA
"NTM","NTM",0.0229430887286304,0.981695669595519,NA
"NTMT1","NTMT1",0.0315467470018666,0.974833511962808,NA
"NTN1","NTN1",0.303995925654353,0.761130995218339,NA
"NTN3","NTN3",-1.63756295800599,1.89848710448784,NA
"NTN4","NTN4",0.487540635483396,0.625875253291438,NA
"NTN5","NTN5",-2.29144098677196,1.97806207867526,"+"
"NTNG1","NTNG1",-1.47982922299666,1.86108117221079,NA
"NTNG2","NTNG2",-0.78866867504667,1.56969431905435,NA
"NTPCR","NTPCR",0.12045121582531,0.904125722328308,NA
"NTRK1","NTRK1",-0.93206297960061,1.64869602133952,NA
"NTRK2","NTRK2",0.794404447228827,0.426960016016247,NA
"NTRK3","NTRK3",-0.217959342921989,1.17253921052401,NA
"NTS","NTS",-1.11273980333857,1.73417980459213,NA
"NTSR1","NTSR1",-1.70639222419189,1.91206492261448,NA
"NTSR2","NTSR2",-2.29144098677196,1.97806207867526,"+"
"NUAK1","NUAK1",0.553502015578208,0.579919700795604,NA
"NUAK2","NUAK2",0.126186988007467,0.899583911096324,NA
"NUB1","NUB1",0.616595509581942,0.537501557110355,NA
"NUBP1","NUBP1",0.0688292661858913,0.94512552227501,NA
"NUBP2","NUBP2",0.0630934940037338,0.949692055011704,NA
"NUBPL","NUBPL",0.252373976014935,0.800752013372376,NA
"NUCB1","NUCB1",0.900516232598743,0.367845590755362,NA
"NUCB2","NUCB2",0.83742273859501,0.402354988797258,NA
"NUCKS1","NUCKS1",1.23892679134604,0.215372610898866,NA
"NUDC","NUDC",0.504747952029869,0.613735876599281,NA
"NUDCD1","NUDCD1",0.172073165464728,0.863380008931788,NA
"NUDCD2","NUDCD2",-0.0143394304553942,1.01144081809429,NA
"NUDCD3","NUDCD3",0.708367864496464,0.47871684318603,NA
"NUDT1","NUDT1",-0.447390230208293,1.34540667139738,NA
"NUDT10","NUDT10",-1.1356828920672,1.7439106969418,NA
"NUDT11","NUDT11",-1.13281500597613,1.74270805156505,NA
"NUDT12","NUDT12",0.140526418462861,0.888244080673242,NA
"NUDT13","NUDT13",-0.464597546754766,1.357780310567,NA
"NUDT14","NUDT14",-0.23803454555954,1.18814569935749,NA
"NUDT15","NUDT15",-0.0286788609107879,1.02287928401809,NA
"NUDT16","NUDT16",0.539162585122815,0.589774674408716,NA
"NUDT16L1","NUDT16L1",-0.19214836810228,1.15237401153205,NA
"NUDT17","NUDT17",-1.25326622180144,1.78989116303981,NA
